/Users/volodimir/PycharmProjects/ML-1-Task/.venv/bin/python /Users/volodimir/PycharmProjects/ML-1-Task/monte_carlo_control_on_policy.py
Sarsa with different hyperparameters
Hyperparameters: [experiment, alpha, gamma, epsilon, decay rate, episodes, use_random_values, action_space_steps, obs_space_steps]
Episode 0/500 done, steps: 3489
Episode 1/500 done, steps: 8467
Episode 2/500 done, steps: 7645
Episode 3/500 done, steps: 19015
Episode 4/500 done, steps: 2054
Episode 5/500 done, steps: 2825
Episode 6/500 done, steps: 3017
Episode 7/500 done, steps: 11973
Episode 8/500 done, steps: 2196
Episode 9/500 done, steps: 100000
Episode 10/500 done, steps: 1041
Episode 11/500 done, steps: 2623
Episode 12/500 done, steps: 6040
Episode 13/500 done, steps: 3643
Episode 14/500 done, steps: 8975
Episode 15/500 done, steps: 5993
Episode 16/500 done, steps: 2641
Episode 17/500 done, steps: 1070
Episode 18/500 done, steps: 4342
Episode 19/500 done, steps: 1522
Episode 20/500 done, steps: 10709
Episode 21/500 done, steps: 2810
Episode 22/500 done, steps: 1686
Episode 23/500 done, steps: 3554
Episode 24/500 done, steps: 802
Episode 25/500 done, steps: 1097
Episode 26/500 done, steps: 2644
Episode 27/500 done, steps: 1527
Episode 28/500 done, steps: 984
Episode 29/500 done, steps: 2049
Episode 30/500 done, steps: 460
Episode 31/500 done, steps: 6164
Episode 32/500 done, steps: 639
Episode 33/500 done, steps: 1462
Episode 34/500 done, steps: 1429
Episode 35/500 done, steps: 4363
Episode 36/500 done, steps: 592
Episode 37/500 done, steps: 2480
Episode 38/500 done, steps: 1035
Episode 39/500 done, steps: 751
Episode 40/500 done, steps: 724
Episode 41/500 done, steps: 1555
Episode 42/500 done, steps: 3617
Episode 43/500 done, steps: 2341
Episode 44/500 done, steps: 991
Episode 45/500 done, steps: 5415
Episode 46/500 done, steps: 1770
Episode 47/500 done, steps: 1439
Episode 48/500 done, steps: 4360
Episode 49/500 done, steps: 3840
Episode 50/500 done, steps: 1233
Episode 51/500 done, steps: 2116
Episode 52/500 done, steps: 522
Episode 53/500 done, steps: 3349
Episode 54/500 done, steps: 4792
Episode 55/500 done, steps: 1362
Episode 56/500 done, steps: 2349
Episode 57/500 done, steps: 1816
Episode 58/500 done, steps: 1444
Episode 59/500 done, steps: 1279
Episode 60/500 done, steps: 2572
Episode 61/500 done, steps: 3697
Episode 62/500 done, steps: 2248
Episode 63/500 done, steps: 883
Episode 64/500 done, steps: 1084
Episode 65/500 done, steps: 3021
Episode 66/500 done, steps: 1749
Episode 67/500 done, steps: 2232
Episode 68/500 done, steps: 8723
Episode 69/500 done, steps: 3072
Episode 70/500 done, steps: 1525
Episode 71/500 done, steps: 1442
Episode 72/500 done, steps: 1806
Episode 73/500 done, steps: 1002
Episode 74/500 done, steps: 885
Episode 75/500 done, steps: 3273
Episode 76/500 done, steps: 1718
Episode 77/500 done, steps: 1212
Episode 78/500 done, steps: 1719
Episode 79/500 done, steps: 390
Episode 80/500 done, steps: 2692
Episode 81/500 done, steps: 1000
Episode 82/500 done, steps: 2001
Episode 83/500 done, steps: 722
Episode 84/500 done, steps: 1575
Episode 85/500 done, steps: 380
Episode 86/500 done, steps: 944
Episode 87/500 done, steps: 987
Episode 88/500 done, steps: 3010
Episode 89/500 done, steps: 5169
Episode 90/500 done, steps: 2092
Episode 91/500 done, steps: 1151
Episode 92/500 done, steps: 1537
Episode 93/500 done, steps: 2041
Episode 94/500 done, steps: 810
Episode 95/500 done, steps: 539
Episode 96/500 done, steps: 1368
Episode 97/500 done, steps: 3064
Episode 98/500 done, steps: 2044
Episode 99/500 done, steps: 905
Episode 100/500 done, steps: 5337
Episode 101/500 done, steps: 613
Episode 102/500 done, steps: 1686
Episode 103/500 done, steps: 2206
Episode 104/500 done, steps: 5102
Episode 105/500 done, steps: 1630
Episode 106/500 done, steps: 5942
Episode 107/500 done, steps: 2086
Episode 108/500 done, steps: 2632
Episode 109/500 done, steps: 2137
Episode 110/500 done, steps: 559
Episode 111/500 done, steps: 1289
Episode 112/500 done, steps: 689
Episode 113/500 done, steps: 930
Episode 114/500 done, steps: 2701
Episode 115/500 done, steps: 1608
Episode 116/500 done, steps: 1219
Episode 117/500 done, steps: 1110
Episode 118/500 done, steps: 2352
Episode 119/500 done, steps: 3059
Episode 120/500 done, steps: 1917
Episode 121/500 done, steps: 1657
Episode 122/500 done, steps: 4407
Episode 123/500 done, steps: 2033
Episode 124/500 done, steps: 1947
Episode 125/500 done, steps: 2725
Episode 126/500 done, steps: 569
Episode 127/500 done, steps: 1575
Episode 128/500 done, steps: 1437
Episode 129/500 done, steps: 522
Episode 130/500 done, steps: 3152
Episode 131/500 done, steps: 620
Episode 132/500 done, steps: 2822
Episode 133/500 done, steps: 1033
Episode 134/500 done, steps: 1388
Episode 135/500 done, steps: 1910
Episode 136/500 done, steps: 3232
Episode 137/500 done, steps: 939
Episode 138/500 done, steps: 1054
Episode 139/500 done, steps: 1051
Episode 140/500 done, steps: 2027
Episode 141/500 done, steps: 1289
Episode 142/500 done, steps: 833
Episode 143/500 done, steps: 4446
Episode 144/500 done, steps: 4269
Episode 145/500 done, steps: 849
Episode 146/500 done, steps: 3728
Episode 147/500 done, steps: 454
Episode 148/500 done, steps: 2285
Episode 149/500 done, steps: 925
Episode 150/500 done, steps: 1304
Episode 151/500 done, steps: 378
Episode 152/500 done, steps: 1395
Episode 153/500 done, steps: 367
Episode 154/500 done, steps: 1535
Episode 155/500 done, steps: 1126
Episode 156/500 done, steps: 722
Episode 157/500 done, steps: 3574
Episode 158/500 done, steps: 1629
Episode 159/500 done, steps: 1791
Episode 160/500 done, steps: 1652
Episode 161/500 done, steps: 740
Episode 162/500 done, steps: 2456
Episode 163/500 done, steps: 973
Episode 164/500 done, steps: 4434
Episode 165/500 done, steps: 3359
Episode 166/500 done, steps: 816
Episode 167/500 done, steps: 3012
Episode 168/500 done, steps: 1883
Episode 169/500 done, steps: 4701
Episode 170/500 done, steps: 718
Episode 171/500 done, steps: 2542
Episode 172/500 done, steps: 4783
Episode 173/500 done, steps: 3021
Episode 174/500 done, steps: 2948
Episode 175/500 done, steps: 1150
Episode 176/500 done, steps: 6423
Episode 177/500 done, steps: 1028
Episode 178/500 done, steps: 1265
Episode 179/500 done, steps: 3702
Episode 180/500 done, steps: 2770
Episode 181/500 done, steps: 587
Episode 182/500 done, steps: 1999
Episode 183/500 done, steps: 2415
Episode 184/500 done, steps: 555
Episode 185/500 done, steps: 450
Episode 186/500 done, steps: 2775
Episode 187/500 done, steps: 568
Episode 188/500 done, steps: 1639
Episode 189/500 done, steps: 1377
Episode 190/500 done, steps: 2114
Episode 191/500 done, steps: 3378
Episode 192/500 done, steps: 1322
Episode 193/500 done, steps: 1907
Episode 194/500 done, steps: 1599
Episode 195/500 done, steps: 1138
Episode 196/500 done, steps: 668
Episode 197/500 done, steps: 1466
Episode 198/500 done, steps: 3148
Episode 199/500 done, steps: 1776
Episode 200/500 done, steps: 1429
Episode 201/500 done, steps: 1772
Episode 202/500 done, steps: 4183
Episode 203/500 done, steps: 712
Episode 204/500 done, steps: 910
Episode 205/500 done, steps: 654
Episode 206/500 done, steps: 3913
Episode 207/500 done, steps: 516
Episode 208/500 done, steps: 753
Episode 209/500 done, steps: 4186
Episode 210/500 done, steps: 1511
Episode 211/500 done, steps: 722
Episode 212/500 done, steps: 1475
